Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo
145.2943878,-0.269788533449173,90.0144,0.025221,2
144.9201813,-0.269788533449173,90.0144,0.025221,2
144.6016388,-0.269788533449173,90.0144,0.025222,2
144.1632385,-0.269788533449173,90.0144,0.025221,2
143.8620911,-0.269788533449173,90.0144,0.025221,2
143.5945435,-0.269788533449173,90.0144,0.02522,2
143.2962494,-0.269788533449173,90.0144,0.02522,2
142.9834747,-0.269788533449173,90.0144,0.02522,2
142.6669617,-0.269788533449173,90.0144,0.025221,2
142.3538971,-0.269788533449173,90.0144,0.02522,2
142.100174,-0.269788533449173,90.0144,0.025219,2
141.7174225,-0.269788533449173,90.0144,0.02522,2
141.3273468,-0.269788533449173,90.0144,0.02522,2
141.0856171,-0.269788533449173,90.0144,0.025219,2
140.8307495,-0.269788533449173,90.0144,0.025218,2
140.5364685,-0.269788533449173,90.0144,0.025217,2
140.2112122,-0.269788533449173,90.0144,0.025216,2
139.791153,-0.269788533449173,90.0144,0.025215,2
139.4916382,-0.269788533449173,90.0144,0.025213,2
139.1678925,-0.269788533449173,90.0144,0.025213,2
138.7867432,-0.269788533449173,90.0144,0.025212,2
138.4901581,-0.269788533449173,90.0144,0.025212,2
138.1830597,-0.269788533449173,90.0144,0.025214,2
137.8870087,-0.269788533449173,90.0144,0.025216,2
137.6223145,-0.269788533449173,90.0144,0.025218,2
137.1744995,-0.269788533449173,90.0144,0.025221,2
136.8944702,-0.269788533449173,90.0144,0.025223,2
136.5786591,-0.269788533449173,90.0144,0.025224,2
136.2114105,-0.269788533449173,90.0144,0.025226,2
135.8334961,-0.269788533449173,90.0144,0.025225,2
135.5898438,-0.269788533449173,90.0144,0.025224,2
135.2822418,-0.269788533449173,90.0144,0.025221,2
134.9065399,-0.269788533449173,90.0144,0.025219,2
134.6093597,-0.269788533449173,90.0144,0.025216,2
134.17659,-0.269788533449173,90.0144,0.025213,2
133.8850708,-0.269788533449173,90.0144,0.025211,2
133.5848236,-0.269788533449173,90.0144,0.025208,2
133.2113647,-0.269788533449173,90.0144,0.025204,2
132.8937836,-0.269788533449173,90.0144,0.025202,2
132.6037598,-0.269788533449173,90.0144,0.025198,2
132.2889557,-0.269788533449173,90.0144,0.025195,2
131.9911957,-0.269788533449173,90.0144,0.025192,2
131.6743774,-0.269788533449173,90.0144,0.025189,2
131.3232727,-0.269788533449173,90.0144,0.025186,2
131.0336304,-0.269788533449173,90.0144,0.025183,2
130.7165222,-0.269788533449173,90.0144,0.02518,2
130.4277954,-0.269788533449173,90.0144,0.025178,2
130.0604706,-0.269788533449173,90.0144,0.025174,2
129.7054291,-0.269788533449173,90.0144,0.025171,2
129.4142761,-0.269788533449173,90.0144,0.025167,2
129.1552582,-0.269788533449173,90.0144,0.025164,2
128.8128815,-0.269788533449173,90.0144,0.025163,2
128.5627136,-0.269788533449173,90.0144,0.025167,2
128.2590485,-0.269788533449173,90.0144,0.025174,2
127.8900452,-0.269788533449173,90.0144,0.025181,2
127.5351791,-0.269788533449173,90.0144,0.025187,2
127.234436,-0.269788533449173,90.0144,0.025193,2
126.8601303,-0.269788533449173,90.0144,0.025201,2
126.5055695,-0.269788533449173,90.0144,0.025205,2
126.2077408,-0.269788533449173,90.0144,0.025202,2
125.8649139,-0.269788533449173,90.0144,0.025198,2
125.5787659,-0.269788533449173,90.0144,0.025194,2
125.3221283,-0.269788533449173,90.0144,0.025192,2
124.9050827,-0.269788533449173,90.0144,0.025187,2
124.6207657,-0.269788533449173,90.0144,0.025183,2
124.3127823,-0.269788533449173,90.0144,0.025179,2
124.0823975,-0.269788533449173,90.0144,0.025176,2
123.7786255,-0.269788533449173,90.0144,0.025173,2
123.4942703,-0.269788533449173,90.0144,0.025169,2
123.2386246,-0.269788533449173,90.0144,0.025166,2
122.916748,-0.269788533449173,90.0144,0.02516,2
122.6055984,-0.269788533449173,90.0144,0.025157,2
122.2396774,-0.269788533449173,90.0144,0.025153,2
121.9564438,-0.269788533449173,90.0144,0.025149,2
121.7104111,-0.269788533449173,90.0144,0.025146,2
121.3611145,-0.269788533449173,90.0144,0.025141,2
120.9958191,-0.269788533449173,90.0144,0.025137,2
120.6362,-0.269788533449173,90.0144,0.025134,2
120.3538818,-0.269788533449173,90.0144,0.02513,2
120.0109558,-0.269788533449173,90.0144,0.025124,2
119.7156067,-0.269788533449173,90.0144,0.02512,2
119.3542023,-0.269788533449173,90.0144,0.025116,2
118.9460144,-0.269788533449173,90.0144,0.025111,2
118.6506348,-0.269788533449173,90.0144,0.025107,2
118.2973099,-0.269788533449173,90.0144,0.025102,2
117.9578629,-0.269788533449173,90.0144,0.025098,2
117.6643906,-0.269788533449173,90.0144,0.025095,2
117.3524628,-0.269788533449173,90.0144,0.025091,2
117.0852814,-0.269788533449173,90.0144,0.025088,2
116.8259583,-0.269788533449173,90.0144,0.025085,2
116.5459442,-0.269788533449173,90.0144,0.025082,2
116.1987457,-0.269788533449173,90.0144,0.025077,2
115.9336472,-0.269788533449173,90.0144,0.025073,2
115.5731277,-0.269788533449173,90.0144,0.025068,2
115.2617798,-0.269788533449173,90.0144,0.025064,2
115.0484238,-0.269788533449173,90.0144,0.025062,2
114.7414932,-0.269788533449173,90.0144,0.025057,2
114.502449,-0.269788533449173,90.0144,0.025054,2
114.2051315,-0.269788533449173,90.0144,0.02505,2
113.8599243,-0.269788533449173,90.0144,0.025045,2
113.5214157,-0.269788533449173,90.0144,0.02504,2
113.2870255,-0.269788533449173,90.0144,0.025037,2
112.9961319,-0.269788533449173,90.0144,0.025034,2
112.6410522,-0.269788533449173,90.0144,0.025029,2
112.2970123,-0.269788533449173,90.0144,0.025024,2
112.000885,-0.269788533449173,90.0144,0.02502,2
111.6700058,-0.269788533449173,90.0144,0.025015,2
111.3663406,-0.269788533449173,90.0144,0.025012,2
110.9779892,-0.269788533449173,90.0144,0.025006,2
110.6863632,-0.269788533449173,90.0144,0.025002,2
110.3978729,-0.269788533449173,90.0144,0.024999,2
110.1210632,-0.269788533449173,90.0144,0.024994,2
109.8088989,-0.269788533449173,90.0144,0.02499,2
109.547554,-0.269788533449173,90.0144,0.024986,2
109.1919937,-0.269788533449173,90.0144,0.024981,2
108.8870468,-0.269788533449173,90.0144,0.024977,2
108.6630402,-0.269788533449173,90.0144,0.024975,2
108.4501343,-0.269788533449173,90.0144,0.024972,2
108.1467743,-0.269788533449173,90.0144,0.024968,2
107.7875595,-0.269788533449173,90.0144,0.024963,2
107.5235214,-0.269788533449173,90.0144,0.024961,2
107.2156601,-0.269788533449173,90.0144,0.024957,2
106.9263916,-0.269788533449173,90.0144,0.024952,2
106.5893021,-0.269788533449173,90.0144,0.024948,2
106.2499161,-0.269788533449173,90.0144,0.024944,2
105.9730682,-0.269788533449173,90.0144,0.02494,2
105.6155167,-0.269788533449173,90.0144,0.024936,2
105.2687836,-0.269788533449173,90.0144,0.024931,2
104.9139938,-0.269788533449173,90.0144,0.024927,2
104.6424866,-0.269788533449173,90.0144,0.024924,2
104.3024597,-0.269788533449173,90.0144,0.024919,2
103.9501114,-0.269788533449173,90.0144,0.024915,2
103.6807785,-0.269788533449173,90.0144,0.024911,2
103.3266678,-0.269788533449173,90.0144,0.024905,2
102.9943771,-0.269788533449173,90.0144,0.024901,2
102.7066498,-0.269788533449173,90.0144,0.024896,2
102.3542786,-0.269788533449173,90.0144,0.024889,2
102.0872421,-0.269788533449173,90.0144,0.024884,2
101.7474213,-0.269788533449173,90.0144,0.02488,2
101.4380951,-0.269788533449173,90.0144,0.024875,2
101.1512146,-0.269788533449173,90.0144,0.024871,2
100.8667374,-0.269788533449173,90.0144,0.024866,2
100.5939331,-0.269788533449173,90.0144,0.024861,2
100.2920532,-0.269788533449173,90.0144,0.024856,2
99.9543839,-0.269788533449173,90.0144,0.024849,2
99.7334747,-0.269788533449173,90.0144,0.024846,2
99.386734,-0.269788533449173,90.0144,0.024839,2
98.9841843,-0.269788533449173,90.0144,0.024833,2
98.6496964,-0.269788533449173,90.0144,0.024827,2
98.3672943,-0.269788533449173,90.0144,0.024822,2
98.0284042,-0.269788533449173,90.0144,0.024817,2
97.6763458,-0.269788533449173,90.0144,0.02481,2
97.3373566,-0.269788533449173,90.0144,0.024805,2
97.0405502,-0.269788533449173,90.0144,0.024801,2
96.7208023,-0.269788533449173,90.0144,0.024794,2
96.3836288,-0.269788533449173,90.0144,0.024789,2
96.080925,-0.269788533449173,90.0144,0.024784,2
95.7557373,-0.269788533449173,90.0144,0.024779,2
95.3984833,-0.269788533449173,90.0144,0.024774,2
95.1458817,-0.269788533449173,90.0144,0.02477,2
94.8450012,-0.269788533449173,90.0144,0.024768,2
94.5908356,-0.269788533449173,90.0144,0.024768,2
94.2024002,-0.269788533449173,90.0144,0.024767,2
93.9005203,-0.269788533449173,90.0144,0.024767,2
93.5738983,-0.269788533449173,90.0144,0.024766,2
93.2346802,-0.269788533449173,90.0144,0.024764,2
92.8907928,-0.269788533449173,90.0144,0.024763,2
92.5520782,-0.269788533449173,90.0144,0.024757,2
92.2686081,-0.269788533449173,90.0144,0.024752,2
91.9917526,-0.269788533449173,90.0144,0.024747,2
91.6930389,-0.269788533449173,90.0144,0.024742,2
91.4097061,-0.269788533449173,90.0144,0.024737,2
91.1222305,-0.269788533449173,90.0144,0.024733,2
90.9137421,-0.269788533449173,90.0144,0.024728,2
90.6141205,-0.269788533449173,90.0144,0.024723,2
90.279335,-0.269788533449173,90.0144,0.024717,2
89.9923553,-0.269788533449173,90.0144,0.024712,2
89.6893845,-0.269788533449173,90.0144,0.024707,2
89.4149704,-0.269788533449173,90.0144,0.024702,2
89.1745834,-0.269788533449173,90.0144,0.024698,2
88.8493958,-0.269788533449173,90.0144,0.024691,2
88.6114731,-0.269788533449173,90.0144,0.024688,2
88.3491669,-0.269788533449173,90.0144,0.024683,2
88.0328598,-0.269788533449173,90.0144,0.024678,2
87.7499237,-0.269788533449173,90.0144,0.024671,2
87.5271301,-0.269788533449173,90.0144,0.024667,2
87.2913742,-0.269788533449173,90.0144,0.024663,2
86.9982147,-0.269788533449173,90.0144,0.024658,2
86.6669846,-0.269788533449173,90.0144,0.024651,2
86.365654,-0.269788533449173,90.0144,0.024646,2
86.0338974,-0.269788533449173,90.0144,0.024639,2
85.6926575,-0.269788533449173,90.0144,0.024633,2
85.2643051,-0.269788533449173,90.0144,0.024626,2
84.7636948,-0.269788533449173,90.0144,0.024616,2
84.3819427,-0.269788533449173,90.0144,0.024609,2
83.8826447,-0.269788533449173,90.0144,0.0246,2
83.3673248,-0.269788533449173,90.0144,0.02459,2
83.0128403,-0.269788533449173,90.0144,0.024585,2
82.6172791,-0.269788533449173,90.0144,0.024579,2
82.2348022,-0.269788533449173,90.0144,0.024574,2
81.8511887,-0.269788533449173,90.0144,0.024571,2
81.4688568,-0.269788533449173,90.0144,0.024567,2
81.097374,-0.269788533449173,90.0144,0.024564,2
80.5662613,-0.269788533449173,90.0144,0.024558,2
80.0634995,-0.269788533449173,90.0144,0.024552,2
79.6924973,-0.269788533449173,90.0144,0.024545,2
79.3071594,-0.269788533449173,90.0144,0.02454,2
78.786232,-0.269788533449173,90.0144,0.024531,2
78.2793503,-0.269788533449173,90.0144,0.024524,2
77.8908386,-0.269788533449173,90.0144,0.024518,2
77.3690338,-0.269788533449173,90.0144,0.024509,2
76.8576202,-0.269788533449173,90.0144,0.024502,2
76.4677353,-0.269788533449173,90.0144,0.024495,2
76.0776443,-0.269788533449173,90.0144,0.024489,2
75.5645447,-0.269788533449173,90.0144,0.024481,2
75.1719589,-0.269788533449173,90.0144,0.024475,2
74.7653275,-0.269788533449173,90.0144,0.024467,2
74.3712845,-0.269788533449173,90.0144,0.02446,2
73.9497986,-0.269788533449173,90.0144,0.024451,2
73.3767014,-0.269788533449173,90.0144,0.02444,2
72.8138809,-0.269788533449173,90.0144,0.024429,2
72.2354355,-0.269788533449173,90.0144,0.024418,2
71.6564178,-0.269788533449173,90.0144,0.024406,2
71.226593,-0.269788533449173,90.0144,0.024397,2
70.7976761,-0.269788533449173,90.0144,0.024389,2
70.3526611,-0.269788533449173,90.0144,0.02438,2
69.9188843,-0.269788533449173,90.0144,0.024373,2
69.3451462,-0.269788533449173,90.0144,0.024362,2
68.7396622,-0.269788533449173,90.0144,0.024351,2
68.1601944,-0.269788533449173,90.0144,0.024341,2
67.7199097,-0.269788533449173,90.0144,0.024331,2
67.1226273,-0.269788533449173,90.0144,0.024321,2
66.535347,-0.269788533449173,90.0144,0.02431,2
66.0602417,-0.269788533449173,90.0144,0.024301,2
65.5695419,-0.269788533449173,90.0144,0.024293,2
65.0905304,-0.269788533449173,90.0144,0.024285,2
64.6088104,-0.269788533449173,90.0144,0.024277,2
64.1280518,-0.269788533449173,90.0144,0.024268,2
63.6396141,-0.269788533449173,90.0144,0.024259,2
63.1532516,-0.269788533449173,90.0144,0.024249,2
62.6478691,-0.269788533449173,90.0144,0.024241,2
62.1538467,-0.269788533449173,90.0144,0.024231,2
61.657177,-0.269788533449173,90.0144,0.024221,2
61.1579704,-0.269788533449173,90.0144,0.024213,2
60.655201,-0.269788533449173,90.0144,0.024205,2
60.149292,-0.269788533449173,90.0144,0.024198,2
59.6407471,-0.269788533449173,90.0144,0.024193,2
59.1283684,-0.269788533449173,90.0144,0.02419,2
58.6112442,-0.269788533449173,90.0144,0.024186,2
58.0939369,-0.269788533449173,90.0144,0.024184,2
57.5681801,-0.269788533449173,90.0144,0.024181,2
57.0398941,-0.269788533449173,90.0144,0.024175,2
56.5085258,-0.269788533449173,90.0144,0.02417,2
55.9703369,-0.269788533449173,90.0144,0.024164,2
55.4300156,-0.269788533449173,90.0144,0.024156,2
54.8843536,-0.269788533449173,90.0144,0.024147,2
54.3328323,-0.269788533449173,90.0144,0.024146,2
53.7745056,-0.269788533449173,90.0144,0.024143,2
53.2117882,-0.269788533449173,90.0144,0.024142,2
52.6431007,-0.269788533449173,90.0144,0.024141,2
52.0676422,-0.269788533449173,90.0144,0.02414,2
51.2922668,-0.269788533449173,90.0144,0.024131,2
50.7011948,-0.269788533449173,90.0144,0.024123,2
50.1024323,-0.269788533449173,90.0144,0.024115,2
49.4967194,-0.269788533449173,90.0144,0.024107,2
48.8835182,-0.269788533449173,90.0144,0.024098,2
48.2602959,-0.269788533449173,90.0144,0.02409,2
47.6292343,-0.269788533449173,90.0144,0.024082,2
46.987854,-0.269788533449173,90.0144,0.024074,2
46.1183357,-0.269788533449173,90.0144,0.024061,2
45.4526215,-0.269788533449173,90.0144,0.024053,2
44.7757263,-0.269788533449173,90.0144,0.024044,2
44.0852585,-0.269788533449173,90.0144,0.024035,2
43.3825493,-0.269788533449173,90.0144,0.024025,2
42.6653748,-0.269788533449173,90.0144,0.024015,2
41.9328194,-0.269788533449173,90.0144,0.024005,2
40.9293327,-0.269788533449173,90.0144,0.02399,2
40.1545715,-0.269788533449173,90.0144,0.023979,2
39.3577766,-0.269788533449173,90.0144,0.023969,2
38.5390053,-0.269788533449173,90.0144,0.023958,2
37.7201347,-0.269788533449173,90.0144,0.023947,2
36.8460274,-0.269788533449173,90.0144,0.023936,2
35.6578979,-0.269788533449173,90.0144,0.023921,2
34.7018929,-0.269788533449173,90.0144,0.02391,2
33.7015152,-0.269788533449173,90.0144,0.023898,2
32.6514091,-0.269788533449173,90.0144,0.023887,2
31.5411663,-0.269788533449173,90.0144,0.023874,2
29.990448,-0.269788533449173,90.0144,0.02386,2
28.7010384,-0.269788533449173,90.0144,0.023849,2
27.305912,-0.269788533449173,90.0144,0.023836,2
25.7818775,-0.269788533449173,90.0144,0.023824,2
24.0974274,-0.269788533449173,90.0144,0.023811,2
22.268713,-0.269788533449173,90.0144,0.023798,2
19.3474178,-0.269788533449173,90.0144,0.023781,2
16.9494648,-0.269788533449173,90.0144,0.023766,2
14.7080727,-0.269788533449173,90.0144,0.023749,2
13.8771601,-0.269788533449173,90.0144,0.023735,2
13.7404556,-0.269788533449173,90.0144,0.023724,2
13.4641571,-0.269788533449173,90.0144,0.023714,2
12.990407,-0.269788533449173,90.0144,0.02371,2
12.1753702,-0.269788533449173,90.0144,0.023706,2
11.6986494,-0.269788533449173,90.0144,0.023703,2
11.4134741,-0.269788533449173,90.0144,0.0237,2
11.0514736,-0.269788533449173,90.0144,0.023697,2
10.7390451,-0.269788533449173,90.0144,0.023695,2
10.4304047,-0.269788533449173,90.0144,0.023694,2
10.118535,-0.269788533449173,90.0144,0.023691,2
10.0042686,-0.269788533449173,90.0144,0.023689,2
9.7712946,-0.269788533449173,90.0144,0.023686,2
9.6275854,-0.269788533449173,90.0144,0.023686,2
9.6797285,-0.269788533449173,90.0144,0.023686,2
9.7520142,-0.269788533449173,90.0144,0.023686,2
9.8141708,-0.269788533449173,90.0144,0.023686,2
9.8414688,-0.269788533449173,90.0144,0.023685,2
9.8442688,-0.269788533449173,90.0144,0.023684,2
9.6986685,-0.269788533449173,90.0144,0.023685,2
9.723546,-0.269788533449173,90.0144,0.023684,2
9.7542744,-0.269788533449173,90.0144,0.023684,2
9.7478447,-0.269788533449173,90.0144,0.023685,2
9.6329813,-0.269788533449173,90.0144,0.023685,2
9.645401,-0.269788533449173,90.0144,0.023686,2
9.6762266,-0.269788533449173,90.0144,0.023686,2
